info: Download starting. {"0":{"rss":59703296,"heapTotal":34959360,"heapUsed":32194120,"external":2038424},"1":[0,64827479],"timestamp":"2020-07-29T11:06:08.834Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-2-bedroom-twin-bedroom-refurb-2-800x385.jpg","1":200,"2":"image/jpeg","3":{"rss":63635456,"heapTotal":43642880,"heapUsed":33946352,"external":1636910},"4":[12,147090371],"timestamp":"2020-07-29T11:06:20.915Z"}
info: Response accepted. {"0":"https://cdn.polyfill.io/v2/polyfill.min.js","1":200,"2":"text/javascript; charset=utf-8","3":{"rss":68198400,"heapTotal":44691456,"heapUsed":34639928,"external":1899372},"4":[13,275978664],"timestamp":"2020-07-29T11:06:22.044Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/assets/minor/oaks/js/vendor/modernizr.min.js","1":200,"2":"application/javascript","3":{"rss":68198400,"heapTotal":44691456,"heapUsed":34693848,"external":1915770},"4":[13,376021743],"timestamp":"2020-07-29T11:06:22.144Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/layouts/system/VisitorIdentification.js","1":200,"2":"application/javascript","3":{"rss":68198400,"heapTotal":44691456,"heapUsed":34706792,"external":1915770},"4":[13,379246193],"timestamp":"2020-07-29T11:06:22.147Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/assets/minor/oaks/js/NoConflict.js","1":200,"2":"application/javascript","3":{"rss":68435968,"heapTotal":44691456,"heapUsed":31758528,"external":1900281},"4":[13,585122731],"timestamp":"2020-07-29T11:06:22.353Z"}
info: Response accepted. {"0":"https://secure.minorhotels.com/javascripts/login.js","1":200,"2":"application/javascript","3":{"rss":68706304,"heapTotal":44691456,"heapUsed":32273288,"external":2221116},"4":[13,676242424],"timestamp":"2020-07-29T11:06:22.444Z"}
info: Response accepted. {"0":"https://secure.minorhotels.com/javascripts/porthole.min.js","1":200,"2":"application/javascript","3":{"rss":68706304,"heapTotal":44691456,"heapUsed":32291296,"external":2221116},"4":[13,677015380],"timestamp":"2020-07-29T11:06:22.445Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/assets/minor/oaks/28.0/js/main.js","1":200,"2":"application/javascript","3":{"rss":68706304,"heapTotal":44691456,"heapUsed":32303104,"external":2221116},"4":[13,677454982],"timestamp":"2020-07-29T11:06:22.449Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/assets/minor/oaks/js/vendor/jquery-1.11.3.min.js","1":200,"2":"application/javascript","3":{"rss":68706304,"heapTotal":44691456,"heapUsed":32612696,"external":2411762},"4":[13,690627333],"timestamp":"2020-07-29T11:06:22.458Z"}
info: Response accepted. {"0":"https://s7.addthis.com/js/300/addthis_widget.js#pubid=ra-56d564b4f7d02660","1":200,"2":"application/javascript","3":{"rss":68886528,"heapTotal":45056000,"heapUsed":33011352,"external":2428146},"4":[13,692099979],"timestamp":"2020-07-29T11:06:22.460Z"}
info: Response accepted. {"0":"https://cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.17.0/jquery.validate.min.js","1":200,"2":"application/javascript; charset=utf-8","3":{"rss":68886528,"heapTotal":45056000,"heapUsed":33199392,"external":2510066},"4":[13,696025643],"timestamp":"2020-07-29T11:06:22.464Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/assets/minor/oaks/28.0/js/modules.js","1":200,"2":"application/javascript","3":{"rss":69156864,"heapTotal":45228032,"heapUsed":33598976,"external":2680874},"4":[13,763766418],"timestamp":"2020-07-29T11:06:22.531Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/assets/minor/oaks/28.0/js/plugins.js","1":200,"2":"application/javascript","3":{"rss":70238208,"heapTotal":46206976,"heapUsed":35415808,"external":3474506},"4":[13,822253109],"timestamp":"2020-07-29T11:06:22.590Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/assets/minor/oaks/28.0/css/global-ltr.min.css","1":200,"2":"text/css","3":{"rss":71163904,"heapTotal":46383104,"heapUsed":36463160,"external":3695615},"4":[14,85202001],"timestamp":"2020-07-29T11:06:22.853Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/favicons/oaks-hotels-favicon.ico","1":200,"2":"image/x-icon","3":{"rss":70905856,"heapTotal":46383104,"heapUsed":35373608,"external":1658083},"4":[14,243422179],"timestamp":"2020-07-29T11:06:23.011Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/1-bedroom-apartment/oaks-on-castlereagh-1-bedroom-bedroom-refurb-600x400px.jpg","1":200,"2":"image/jpeg","3":{"rss":70905856,"heapTotal":46383104,"heapUsed":36349896,"external":1688045},"4":[14,401139561],"timestamp":"2020-07-29T11:06:23.169Z"}
info: Response rejected. {"0":"https://www.tripadvisor.com/WidgetEmbed-cdspropertysummary?locationId=1176568&partnerId=CA4DE3C0F0BF4FC5935B969ABCF3AEC4&lang=en&display=true","1":200,"2":"text/html;charset=UTF-8","3":{"rss":71913472,"heapTotal":47693824,"heapUsed":37262544,"external":1689066},"4":[15,156711517],"timestamp":"2020-07-29T11:06:23.924Z"}
